loss_threshold,trade_date,actualTailRate,predictedTailRate,conditionalBrier,staticBrier
0.0020,2026-05-21,0.05571565802113353,0.06592386437252824,0.04455210398589198,0.04467343573903265
0.0020,2026-05-22,0.038159958180867745,0.06561796403536532,0.035347602064407554,0.03631220498534365
0.0020,2026-05-25,0.02137643378519291,0.04089585995188252,0.019239598412867893,0.024507055937144345
0.0020,2026-05-26,0.048597194388777555,0.06125647455619126,0.041036070699984384,0.04106696357781626
0.0020,2026-05-27,0.05085599194360524,0.058687504778761536,0.04339274523718267,0.04436023890615251
0.0020,2026-05-28,0.0551061678463094,0.060056865609099196,0.04606495969928425,0.04622269497051482
0.0020,2026-05-29,0.04580545548121462,0.06849239190713914,0.041444320302640135,0.041505348793008594
0.0020,2026-06-01,0.053266331658291456,0.07078214417826513,0.043937084356098034,0.04598874294676099
0.0020,2026-06-02,0.048514851485148516,0.07712026883369479,0.04331432930825621,0.042713787918731455
0.0020,2026-06-03,0.05239960822722821,0.06235514554490124,0.04422438307270898,0.04578902357140664
0.0020,2026-06-04,0.04786485218207415,0.055699915249018975,0.03942550585358232,0.04009521775435227
0.0020,2026-06-05,0.050281954887218046,0.0567128950000476,0.04161129289005821,0.04263620443274328
0.0020,2026-06-08,0.05986590038314176,0.057669562293763396,0.04808715641000493,0.04919916296779113
0.0020,2026-06-09,0.05965241897604509,0.07389452208219079,0.05099570030241909,0.049731161153932876
0.0020,2026-06-10,0.06550424128180961,0.09923916192355461,0.05728565702534904,0.05262954726750711
0.0020,2026-06-11,0.06907593778591034,0.07834939713997645,0.05586131406867529,0.056161760196080074
0.0020,2026-06-12,0.05173255246461689,0.079495738138745,0.04601494383669394,0.045818756451908596
0.0020,2026-06-15,0.03967855349070819,0.06501118778164083,0.03580975431040432,0.03855614211222448
0.0020,2026-06-16,0.04774260508562533,0.058695601937844295,0.04022181966163307,0.04287591935130176
0.0020,2026-06-17,0.049073610415623435,0.04892586122446951,0.04038013577106286,0.042697142684567334
0.0020,2026-06-18,0.04742478327383988,0.058674905189566556,0.04003389164761505,0.044029332167415475
0.0030,2026-05-21,0.03506243996157541,0.035146226745669265,0.028918454312963155,0.028556257654776304
0.0030,2026-05-22,0.020909566126502875,0.033343355577564085,0.020459222415439734,0.02128525171961363
0.0030,2026-05-25,0.0072992700729927005,0.016490760061889913,0.006685638765257139,0.008665071369664644
0.0030,2026-05-26,0.028557114228456915,0.0306294215575536,0.02590683417140956,0.025925761028793265
0.0030,2026-05-27,0.026183282980866064,0.027294978607572094,0.023670039252544465,0.024487488162132205
0.0030,2026-05-28,0.037917087967644085,0.028527015099733693,0.03332759053867255,0.03312960518623466
0.0030,2026-05-29,0.02573340195573855,0.03618072431807746,0.025420262418169963,0.025568602617139155
0.0030,2026-06-01,0.035678391959798994,0.03920766132841068,0.03050381257571083,0.03257784363142157
0.0030,2026-06-02,0.030198019801980197,0.04521635370768845,0.029185243039895302,0.028319885044618548
0.0030,2026-06-03,0.023506366307541625,0.031602405053406356,0.02230160169612443,0.023462945746299108
0.0030,2026-06-04,0.023932426091037073,0.026433667171742812,0.021228729578339312,0.021317015633423864
0.0030,2026-06-05,0.027725563909774435,0.02735000379726147,0.025013855938099683,0.025859244232911173
0.0030,2026-06-08,0.032088122605363985,0.026860023936537424,0.027925541802351225,0.0285083639166198
0.0030,2026-06-09,0.035227806481916396,0.043496358005180036,0.03326097718152767,0.032081006732496954
0.0030,2026-06-10,0.041941564561734215,0.06763784304274506,0.03943494457136402,0.036675231864262046
