trade_date,decision_time,entry_time,benchmark,leader,laggard,members,leader_return,laggard_return,leader_laggard_gap,conditional_lower_tail,frozen_rho,candidate_gross_return,peer_control_gross_return,paired_gross_edge
2026-03-23,2026-03-23T10:00:00+08:00,2026-03-23T10:05:00+08:00,N225,513880,513520,"['513520', '513880', '513000']",0.0047904289928419885,-0.0027367242318553364,0.007527153224697325,9.482951155936892e-06,0.7662782614982533,-0.007119393001435381,-0.00807604952784835,0.0009566565264129689
2026-03-23,2026-03-23T14:00:00+08:00,2026-03-23T14:05:00+08:00,NDX,513100,513110,"['513100', '513300', '513110', '513390', '513870']",0.0023866041192499576,-0.0020997105310551767,0.004486314650305134,0.00019662418895644018,0.6197634628178796,-0.0026288093385877787,-0.0022206963849952244,-0.0004081129535925543
2026-03-23,2026-03-23T14:00:00+08:00,2026-03-23T14:05:00+08:00,N225,513520,513000,"['513520', '513880', '513000']",0.0022284500314826428,-0.0005642931975423648,0.0027927432290250076,0.038244804769381024,0.7705098530674507,-0.003387940072259288,-0.0002506843262196079,-0.00313725574603968
2026-03-26,2026-03-26T14:00:00+08:00,2026-03-26T14:05:00+08:00,931573,513560,513020,"['513980', '513020', '513860', '513150', '513560']",0.0025596430393932668,0.001014185724083072,0.0015454573153101947,0.03200200569358025,0.9252861123852076,-0.001016307624409074,-0.000792382847350781,-0.00022392477705829306
2026-03-30,2026-03-30T14:00:00+08:00,2026-03-30T14:05:00+08:00,N225,513520,513000,"['513520', '513880', '513000']",0.002771615951286499,-0.0016648284709351868,0.004436444422221686,0.0012480429039627428,0.7705098530674507,0.0066852836825854745,0.00802196055811677,-0.0013366768755312952
2026-04-01,2026-04-01T14:00:00+08:00,2026-04-01T14:05:00+08:00,N225,513000,513520,"['513520', '513880', '513000']",0.0021435950594714814,-0.0005353569131175684,0.00267895197258905,0.04631703118126035,0.7705098530674507,0.009090887648304902,0.0110758491080869,-0.0019849614597819976
2026-04-02,2026-04-02T13:30:00+08:00,2026-04-02T13:35:00+08:00,931637,513770,520650,"['513040', '513770', '520650']",0.004878058708685629,0.0,0.004878058708685629,0.02356226133396022,0.8088986901819207,0.0,0.0016727550263845314,-0.0016727550263845314
2026-04-03,2026-04-03T10:00:00+08:00,2026-04-03T10:05:00+08:00,931637,520650,513770,"['513040', '513770', '520650']",0.005697932160406705,-0.00241549979897826,0.008113431959384965,9.994478122682393e-05,0.8088986901819207,-0.00241549979897826,0.001872205472170596,-0.004287705271148856
2026-04-03,2026-04-03T10:30:00+08:00,2026-04-03T10:35:00+08:00,HSTECH,513180,513130,"['513130', '513180', '513010', '513260', '513380']",0.003327744116967013,-0.0016891674197794249,0.005016911536746438,0.00033543372355027135,0.8487839138430222,-0.0016921263880645965,-0.00043179910908042185,-0.0012603272789841746
2026-04-03,2026-04-03T10:30:00+08:00,2026-04-03T10:35:00+08:00,931573,513150,513020,"['513980', '513020', '513860', '513150', '513560']",0.0030180697413908497,0.0,0.0030180697413908497,0.0009630743765191019,0.9290334894761685,0.0,-0.00129564215477862,0.00129564215477862
2026-04-03,2026-04-03T13:30:00+08:00,2026-04-03T13:35:00+08:00,HSSCPB,520690,520880,"['520880', '520690']",0.003484344919687077,0.0,0.003484344919687077,0.025146743864524757,0.8681019665293025,-0.0018761484797572558,-0.001157461463080156,-0.0007186870166770998
2026-04-03,2026-04-03T14:00:00+08:00,2026-04-03T14:05:00+08:00,931239,520600,520720,"['520600', '520720']",0.003132394570254604,0.0,0.003132394570254604,0.015617702677945877,0.8812866245184646,0.0,0.0,0.0
2026-04-07,2026-04-07T10:30:00+08:00,2026-04-07T10:35:00+08:00,931637,520650,513770,"['513040', '513770', '520650']",0.0028408725307251803,-0.00241549979897826,0.00525637232970344,0.0022955643443225426,0.8088986901819207,-0.00241549979897826,0.0007092107440207496,-0.0031247105429990096
2026-04-07,2026-04-07T13:30:00+08:00,2026-04-07T13:35:00+08:00,HSSCT,513160,520980,"['520980', '513160']",0.0021367883310405844,-0.0011736938117785645,0.003310482142819149,0.00836541444512745,0.9348795368016751,0.0,0.0010672857577147532,-0.0010672857577147532
2026-04-08,2026-04-08T10:00:00+08:00,2026-04-08T10:05:00+08:00,N225,513520,513000,"['513520', '513880', '513000']",0.009808948807950246,-0.003081685608310236,0.012890634416260482,1.1303590841116318e-09,0.7705098530674507,-0.003602660643417299,-0.0016648284709351868,-0.0019378321724821124
2026-04-09,2026-04-09T13:30:00+08:00,2026-04-09T13:35:00+08:00,N225,513520,513880,"['513520', '513880', '513000']",0.002073586552648443,-0.000559310255579204,0.002632896808227647,0.015061716173166428,0.7662782614982533,-0.0022346081490672853,-0.0018071814840225353,-0.00042742666504475
2026-04-10,2026-04-10T13:30:00+08:00,2026-04-10T13:35:00+08:00,HSSCPB,520880,520690,"['520880', '520690']",0.0038313681880428607,0.0,0.0038313681880428607,0.022106972305657613,0.8681019665293026,0.0,0.0,0.0
2026-04-14,2026-04-14T14:00:00+08:00,2026-04-14T14:05:00+08:00,931573,513860,513980,"['513980', '513020', '513860', '513150', '513560']",0.0031201777538905073,0.0,0.0031201777538905073,0.029251097973463813,0.865904918993439,0.0015479676201011205,0.0036335053932073924,-0.002085537773106272
2026-04-15,2026-04-15T14:00:00+08:00,2026-04-15T14:05:00+08:00,HSTECH,513180,513130,"['513130', '513180', '513010', '513260', '513380']",0.0031846722674782058,0.0,0.0031846722674782058,0.028070331916940083,0.8487839138430222,0.0016207247190804797,-0.0012098594498066717,0.0028305841688871514
2026-04-16,2026-04-16T10:00:00+08:00,2026-04-16T10:05:00+08:00,931573,513020,513860,"['513980', '513020', '513860', '513150', '513560']",0.0028929808600679507,0.0,0.0028929808600679507,0.011360969072767124,0.9004701677545044,0.0030029643018301133,0.0035425218769850053,-0.000539557575154892
2026-04-16,2026-04-16T14:00:00+08:00,2026-04-16T14:05:00+08:00,HSTECH,513260,513010,"['513130', '513180', '513010', '513260', '513380']",0.0024173260560276244,-0.0015014821509150567,0.003918808206942681,0.0006773106722879341,0.87342236057613,0.004504535949207522,0.003113028445262178,0.001391507503945344
2026-04-17,2026-04-17T10:30:00+08:00,2026-04-17T10:35:00+08:00,931573,513560,513860,"['513980', '513020', '513860', '513150', '513560']",0.003236300889276178,0.0014992310822050658,0.0017370698070711121,0.04840371998474152,0.9068930781737812,-0.007473923191800957,-0.005717339797714827,-0.0017565833940861308
2026-04-17,2026-04-17T13:30:00+08:00,2026-04-17T13:35:00+08:00,931637,520650,513770,"['513040', '513770', '520650']",0.00405400180747062,0.0,0.00405400180747062,0.03755462733616782,0.8088986901819207,0.0022831437041470615,0.00305784259765407,-0.0007746988935070087
2026-04-17,2026-04-17T14:00:00+08:00,2026-04-17T14:05:00+08:00,931573,513860,513980,"['513980', '513020', '513860', '513150', '513560']",0.0030029643018301133,0.0,0.0030029643018301133,0.032961098277717316,0.865904918993439,0.0,0.0004811970585710812,-0.0004811970585710812
2026-04-17,2026-04-17T14:00:00+08:00,2026-04-17T14:05:00+08:00,HSTECH,513380,513180,"['513130', '513180', '513010', '513260', '513380']",0.0034363817728590984,0.0,0.0034363817728590984,0.03498878700788849,0.8263608182240516,0.0015527750543822272,0.0,0.0015527750543822272
2026-04-23,2026-04-23T10:30:00+08:00,2026-04-23T10:35:00+08:00,931239,520600,520720,"['520600', '520720']",0.0031176527867284864,0.0,0.0031176527867284864,0.01585344340708894,0.8812866245184646,-0.0031512824702868425,-0.004669200706795107,0.0015179182365082644
2026-04-24,2026-04-24T10:30:00+08:00,2026-04-24T10:35:00+08:00,931637,513040,513770,"['513040', '513770', '520650']",0.002695436555008035,0.0,0.002695436555008035,0.03146905471103095,0.8258414457361911,0.009569325796625616,0.007113540954466924,0.0024557848421586925
2026-04-24,2026-04-24T13:30:00+08:00,2026-04-24T13:35:00+08:00,N225,513520,513880,"['513520', '513880', '513000']",0.002476412030749886,0.0,0.002476412030749886,0.041752749652732624,0.7662782614982533,0.0016033680860365607,5.88978724125333e-08,0.0016033091881641481
