trade_date,candidate_net_return,peer_control_net_return,paired_net_edge
2026-05-21,-0.0006844387341721479,-0.0005143449007774679,-0.00017009383339467994
2026-05-22,-0.001682752714241004,-0.00069762957893747,-0.000985123135303534
2026-05-25,0.0008690340851497612,0.00022266228098264936,0.000646371804167112
2026-05-26,0.0003666655830554435,-0.00014147322717872755,0.0005081388102341711
2026-05-27,-0.00023999999999999998,-0.0001989927845873971,-4.100721541260287e-05
2026-05-28,-0.00111042932681137,-0.001424209776973197,0.00031378045016182697
2026-05-29,-0.0009127254204359795,-0.0009378045418199548,2.5079121383975308e-05
2026-06-01,-0.0006015257618690124,-0.0011790074992435425,0.0005774817373745301
2026-06-02,0.00034310025831573853,-5.531915399486362e-05,0.0003984194123106021
2026-06-03,-0.0006156043854688639,-0.00043038662610472156,-0.00018521775936414237
2026-06-04,-0.0006444557755543466,-0.0007893976386889421,0.00014494186313459547
2026-06-05,-0.001347309987784326,-0.0016973000414009704,0.00034999005361664444
2026-06-08,0.0009360873185260494,0.00046088853735218023,0.0004751987811738691
2026-06-09,0.0004624676372654611,0.0001758657036859719,0.0002866019335794892
2026-06-10,0.0,0.0,0.0
2026-06-11,-0.0009243844743692083,-0.0011224683112965623,0.00019808383692735397
2026-06-12,-0.0028003392987891026,-0.003444676901731782,0.0006443376029426793
2026-06-15,-0.0007767440516280105,-0.0006862552918027191,-9.048875982529134e-05
2026-06-16,-0.00032884296338944605,-0.00015944857564721834,-0.00016939438774222771
2026-06-17,0.0,0.0,0.0
2026-06-18,-0.00023999999999999998,-0.0001549317969103112,-8.506820308968878e-05
